countyfips,date,super_spreader,total_businesses,county,state,cases,deaths,county_name,population,households,age,income,females,over65,white,black,asian,hispanic,amerindian,other,poverty,no_hsdiploma,t,super_spreader_density,daily_cases
44001,29/03/2020,425,511,Bristol,Rhode Island,11,0,Bristol,48900,19553,44.2,75578,25330,9406,45111,621,995.99994,1421,43,26,3432.0002,3382.9998,1,83.170258,11
44001,05/04/2020,432,513,Bristol,Rhode Island,25,0,Bristol,48900,19553,44.2,75578,25330,9406,45111,621,995.99994,1421,43,26,3432.0002,3382.9998,2,84.210526,14
44001,12/04/2020,416,494,Bristol,Rhode Island,39,0,Bristol,48900,19553,44.2,75578,25330,9406,45111,621,995.99994,1421,43,26,3432.0002,3382.9998,3,84.210526,14
44001,19/04/2020,427,516,Bristol,Rhode Island,65,0,Bristol,48900,19553,44.2,75578,25330,9406,45111,621,995.99994,1421,43,26,3432.0002,3382.9998,4,82.751938,26
44001,26/04/2020,444,522,Bristol,Rhode Island,111,0,Bristol,48900,19553,44.2,75578,25330,9406,45111,621,995.99994,1421,43,26,3432.0002,3382.9998,5,85.057472,46
9001,29/03/2020,8525,9878,Fairfield,Connecticut,1245,21,Fairfield,944348,340491,40.3,92969,484385.03,143419,588974,99412,49375,182653,1257,5416,81751,64890,1,86.302895,1245
9001,05/04/2020,8417,9729,Fairfield,Connecticut,3050,96,Fairfield,944348,340491,40.3,92969,484385.03,143419,588974,99412,49375,182653,1257,5416,81751,64890,2,86.514542,1805
9001,12/04/2020,8351,9631,Fairfield,Connecticut,5534,248,Fairfield,944348,340491,40.3,92969,484385.03,143419,588974,99412,49375,182653,1257,5416,81751,64890,3,86.709587,2484
9001,19/04/2020,8608,9965,Fairfield,Connecticut,7434,447,Fairfield,944348,340491,40.3,92969,484385.03,143419,588974,99412,49375,182653,1257,5416,81751,64890,4,86.382339,1900
9001,26/04/2020,8812,10217,Fairfield,Connecticut,10529,707,Fairfield,944348,340491,40.3,92969,484385.03,143419,588974,99412,49375,182653,1257,5416,81751,64890,5,86.248413,3095
9003,29/04/2020,8294,9735,Hartford,Connecticut,276,2,Hartford,894730,349064,40.4,72321,460080,147260,553425,114565,46327,157785,1398,2673,97063,65169.996,1,85.197739,276
9003,05/04/2020,8190,9604,Hartford,Connecticut,751,29,Hartford,894730,349064,40.4,72321,460080,147260,553425,114565,46327,157785,1398,2673,97063,65169.996,2,85.27697,475
9003,12/04/2020,8094,9480,Hartford,Connecticut,1914,116,Hartford,894730,349064,40.4,72321,460080,147260,553425,114565,46327,157785,1398,2673,97063,65169.996,3,85.379745,1163
9003,19/04/2020,8323,9779,Hartford,Connecticut,3351,295,Hartford,894730,349064,40.4,72321,460080,147260,553425,114565,46327,157785,1398,2673,97063,65169.996,4,85.110954,1437
9003,26/04/2020,8487,9973,Hartford,Connecticut,4989,579,Hartford,894730,349064,40.4,72321,460080,147260,553425,114565,46327,157785,1398,2673,97063,65169.996,5,85.09977,1638
44003,29/03/2020,1656,2005,Kent,Rhode Island,28,0,Kent,163861,68833,43.8,70223,84642,29628.002,145885,2513,4178,7624,215,339,12922,10157,1,82.593513,28
44003,05/04/2020,1610,1948,Kent,Rhode Island,92,0,Kent,163861,68833,43.8,70223,84642,29628.002,145885,2513,4178,7624,215,339,12922,10157,2,82.648872,64
44003,12/04/2020,1594,1928,Kent,Rhode Island,169,0,Kent,163861,68833,43.8,70223,84642,29628.002,145885,2513,4178,7624,215,339,12922,10157,3,82.676346,77
44003,19/042020,1640,1994,Kent,Rhode Island,341,0,Kent,163861,68833,43.8,70223,84642,29628.002,145885,2513,4178,7624,215,339,12922,10157,4,82.246742,172
44003,26/04/2020,1676,2032,Kent,Rhode Island,526,2,Kent,163861,68833,43.8,70223,84642,29628.002,145885,2513,4178,7624,215,339,12922,10157,5,82.480316,185
9005,29/03/2020,1794,2089,Litchfiel,Connecticut,87,0,Litchfield,183031,73987,47.2,78314,92584,36456,162898,2863,3361,10941,305,178.99998,12650,9986,1,85.87841,87
9005,05/04/2020,1781,2069,Litchfiel,Connecticut,197,6,Litchfield,183031,73987,47.2,78314,92584,36456,162898,2863,3361,10941,305,178.99998,12650,9986,2,86.080231,110
9005,12/042020,1736,2023,Litchfiel,Connecticut,403,24,Litchfield,183031,73987,47.2,78314,92584,36456,162898,2863,3361,10941,305,178.99998,12650,9986,3,85.813148,206
9005,19/04/2020,1812,2113,Litchfiel,Connecticut,600,48,Litchfield,183031,73987,47.2,78314,92584,36456,162898,2863,3361,10941,305,178.99998,12650,9986,4,85.754852,197
9005,26/04/2020,1881,2180,Litchfiel,Connecticut,864,74,Litchfield,183031,73987,47.2,78314,92584,36456,162898,2863,3361,10941,305,178.99998,12650,9986,5,86.284401,264
9007,29/03/2020,1714,2028,Middlesex,Connecticut,38,1,Middlesex,163368,66892,45.4,84761,83692,31051.998,137696,8050,4956,9835,118,140,10908.999,6918.0005,1,84.516762,38
9007,05/04/2020,1677,2001,Middlesex,Connecticut,110,5,Middlesex,163368,66892,45.4,84761,83692,31051.998,137696,8050,4956,9835,118,140,10908.999,6918.0005,2,83.808098,72
9007,12/04/2020,1657,1952,Middlesex,Connecticut,299,18,Middlesex,163368,66892,45.4,84761,83692,31051.998,137696,8050,4956,9835,118,140,10908.999,6918.0005,3,84.887299,189
9007,19/04/2020,1713,2033,Middlesex,Connecticut,462,40,Middlesex,163368,66892,45.4,84761,83692,31051.998,137696,8050,4956,9835,118,140,10908.999,6918.0005,4,84.259712,163
9007,26/04/2020,1732,2061,Middlesex,Connecticut,588,66,Middlesex,163368,66892,45.4,84761,83692,31051.998,137696,8050,4956,9835,118,140,10908.999,6918.0005,5,84.036873,126
9009,29/03/2020,7830,9104,New Haven,Connecticut,280,6,New Haven,859339,329857,40.1,67128,445028,142411,546120,106325,33850,151361,823,2240,98855,59205.004,1,86.006149,280
9009,05/04/2020,7750,9014,New Haven,Connecticut,1162,36,New Haven,859339,329857,40.1,67128,445028,142411,546120,106325,33850,151361,823,2240,98855,59205.004,2,85.977371,882
9009,12/04/2020,7683,8937,New Haven,Connecticut,2946,119,New Haven,859339,329857,40.1,67128,445028,142411,546120,106325,33850,151361,823,2240,98855,59205.004,3,85.968445,1784
9009,19/04/2020,7863,9154,New Haven,Connecticut,4871,257,New Haven,859339,329857,40.1,67128,445028,142411,546120,106325,33850,151361,823,2240,98855,59205.004,4,85.896873,1925
9009,26/04/2020,8002,9324,New Haven,Connecticut,6715,429,New Haven,859339,329857,40.1,67128,445028,142411,546120,106325,33850,151361,823,2240,98855,59205.004,5,85.821533,1844
9011,29/03/2020,2476,2943,New Londo,Connecticut,20,0,New London,268881,107402,41.4,71368,134178,46320,204185,14219,10972,27762,1294,380.00003,26140,15250,1,84.131836,20
9011,05/04/2020,2449,2922,New Londo,Connecticut,57,4,New London,268881,107402,41.4,71368,134178,46320,204185,14219,10972,27762,1294,380.00003,26140,15250,2,83.812454,37
9011,12/04/2020,2404,2874,New Londo,Connecticut,190,7,New London,268881,107402,41.4,71368,134178,46320,204185,14219,10972,27762,1294,380.00003,26140,15250,3,83.646484,133
9011,19/04/2020,2504,2985,New Londo,Connecticut,339,10,New London,268881,107402,41.4,71368,134178,46320,204185,14219,10972,27762,1294,380.00003,26140,15250,4,83.886101,149
9011,26/04/2020,2516,3009,New Londo,Connecticut,498,31,New London,268881,107402,41.4,71368,134178,46320,204185,14219,10972,27762,1294,380.00003,26140,15250,5,83.615822,159
44005,29/03/2020,954,1116,Newport,Rhode Island,17,0,Newport,83075,35217,45,77237,42127,17350,71280,2649,1632,4693,293,183.99998,6791,3863,1,85.483871,17
44005,05/04/2020,966,1137,Newport,Rhode Island,42,0,Newport,83075,35217,45,77237,42127,17350,71280,2649,1632,4693,293,183.99998,6791,3863,2,84.960419,25
44005,12/04/2020,945,1101,Newport,Rhode Island,74,0,Newport,83075,35217,45,77237,42127,17350,71280,2649,1632,4693,293,183.99998,6791,3863,3,85.831062,32
44005,19/04/2020,991,1163,Newport,Rhode Island,105,0,Newport,83075,35217,45,77237,42127,17350,71280,2649,1632,4693,293,183.99998,6791,3863,4,85.210663,31
44005,26/04/2020,1004,1182,Newport,Rhode Island,135,0,Newport,83075,35217,45,77237,42127,17350,71280,2649,1632,4693,293,183.99998,6791,3863,5,84.940781,30
44007,29/03/2020,5648,6590,Providenc,Rhode Island,148,0,Providence,634533,238171,37.3,55233,326048,93384,390443.03,51578,25915.998,141206,2211,6221,98661,65533,1,85.705612,148
44007,05/04/2020,5588,6526,Providenc,Rhode Island,538,7,Providence,634533,238171,37.3,55233,326048,93384,390443.03,51578,25915.998,141206,2211,6221,98661,65533,2,85.626724,390
44007,12/04/2020,5536,6450,Providenc,Rhode Island,1278,20,Providence,634533,238171,37.3,55233,326048,93384,390443.03,51578,25915.998,141206,2211,6221,98661,65533,3,85.82946,740
44007,19/04/2020,5670,6611,Providenc,Rhode Island,3292,20,Providence,634533,238171,37.3,55233,326048,93384,390443.03,51578,25915.998,141206,2211,6221,98661,65533,4,85.766144,2014
44007,26/04/2020,5753,6717,Providenc,Rhode Island,5266,107,Providence,634533,238171,37.3,55233,326048,93384,390443.03,51578,25915.998,141206,2211,6221,98661,65533,5,85.648354,1974
9013,29/03/2020,1004,1202,Tolland,Connecticut,40,4,Tolland,151269,55232,37.5,84916,75448,22405,128603,4299,7013,8086.0005,59,298.00003,9390,5215.0005,1,83.527451,40
9013,05/04/2020,993,1187,Tolland,Connecticut,94,11,Tolland,151269,55232,37.5,84916,75448,22405,128603,4299,7013,8086.0005,59,298.00003,9390,5215.0005,2,83.656273,54
